head,relation,tail
Azul,Designer,Michael Kiesling
Azul,Artists,Philippe Guérin
Azul,Artists,Chris Quilliams
Azul,Publishers,Next Move Games
Azul,Publishers,Plan B Games
Azul,Publishers,Asmodee
Azul,Publishers,Belleville (Бельвіль)
Azul,Publishers,Broadway Toys LTD
Azul,Publishers,Divercentro
Azul,Publishers,Galápagos Jogos
Azul,Publishers,Gém Klub Kft.
Azul,Publishers,Ghenos Games
Azul,Publishers,Green Elephant Games
Azul,Publishers,Hobby Japan
Azul,Publishers,KADABRA
Azul,Publishers,Kaissa Chess & Games
Azul,Publishers,Korea Boardgames
Azul,Publishers,Lacerta
Azul,Publishers,MINDOK
Azul,Publishers,MIPL
Azul,Publishers,Orangutan Games
Azul,Publishers,Pegasus Spiele
Azul,Publishers,Rebel Sp. z o.o.
Azul,Publishers,SuperHeated Neurons
Azul,Publishers,Tower Tactic Games
Azul,Publishers,TWOPLUS Games
Azul,Publishers,Zvezda
Azul: Summer Pavilion,Designer,Michael Kiesling
Azul: Summer Pavilion,Publishers,Next Move Games
Azul: Summer Pavilion,Publishers,Belleville (Бельвіль)
Azul: Summer Pavilion,Publishers,Divercentro
Azul: Summer Pavilion,Publishers,SuperHeated Neurons
Tikal,Designer,Michael Kiesling
Heaven & Ale,Designer,Michael Kiesling
Azul: Stained Glass of Sintra,Designer,Michael Kiesling
Azul: Stained Glass of Sintra,Publishers,Next Move Games
Azul: Stained Glass of Sintra,Publishers,Belleville (Бельвіль)
Vikings,Designer,Michael Kiesling
Tichu,Artists,Philippe Guérin
Arboretum,Artists,Philippe Guérin
Reign of Cthulhu,Artists,Philippe Guérin
Junk Art,Artists,Philippe Guérin
Pandemic: The Cure,Artists,Philippe Guérin
Pandemic Legacy: Season 1,Artists,Chris Quilliams
Pandemic Legacy: Season 1,Publishers,Gém Klub Kft.
Pandemic Legacy: Season 1,Publishers,Hobby Japan
Pandemic Legacy: Season 1,Publishers,Korea Boardgames
Pandemic Legacy: Season 1,Publishers,Lacerta
Pandemic Legacy: Season 1,Publishers,MINDOK
Great Western Trail: Second Edition,Artists,Chris Quilliams
Great Western Trail: Second Edition,Publishers,Ghenos Games
Great Western Trail: Second Edition,Publishers,Lacerta
Great Western Trail: Second Edition,Publishers,Zvezda
Pandemic Legacy: Season 2,Artists,Chris Quilliams
Great Western Trail: New Zealand,Artists,Chris Quilliams
Iberia,Artists,Chris Quilliams
Great Western Trail,Publishers,Plan B Games
Great Western Trail,Publishers,Broadway Toys LTD
Great Western Trail,Publishers,Lacerta
Great Western Trail,Publishers,MINDOK
Great Western Trail,Publishers,Pegasus Spiele
Great Western Trail,Publishers,Zvezda
Village,Publishers,Plan B Games
Village,Publishers,KADABRA
Camel Up (Second Edition),Publishers,Plan B Games
Camel Up (Second Edition),Publishers,SuperHeated Neurons
Century: Golem Edition,Publishers,Plan B Games
Century: Spice Road,Publishers,Plan B Games
Century: Spice Road,Publishers,Belleville (Бельвіль)
7 Wonders Duel,Publishers,Asmodee
7 Wonders Duel,Publishers,Hobby Japan
7 Wonders Duel,Publishers,KADABRA
7 Wonders Duel,Publishers,Kaissa Chess & Games
7 Wonders Duel,Publishers,Rebel Sp. z o.o.
Nemesis,Publishers,Asmodee
Arkham Horror: The Card Game,Publishers,Asmodee
Wingspan,Publishers,Asmodee
Wingspan,Publishers,Divercentro
Wingspan,Publishers,Green Elephant Games
Wingspan,Publishers,Kaissa Chess & Games
Wingspan,Publishers,MIPL
Mage Knight Board Game,Publishers,Asmodee
Mage Knight Board Game,Publishers,Lacerta
Mage Knight Board Game,Publishers,Pegasus Spiele
Sky Team,Publishers,Asmodee
Splendor Duel,Publishers,Belleville (Бельвіль)
Splendor,Publishers,Belleville (Бельвіль)
Dune: Imperium,Publishers,Broadway Toys LTD
Dune: Imperium,Publishers,Galápagos Jogos
The Castles of Burgundy,Publishers,Broadway Toys LTD
The Castles of Burgundy,Publishers,Rebel Sp. z o.o.
Trajan,Publishers,Broadway Toys LTD
Codenames,Publishers,Broadway Toys LTD
Codenames,Publishers,SuperHeated Neurons
Codenames,Publishers,TWOPLUS Games
Wingspan Asia,Publishers,Divercentro
Wyrmspan,Publishers,Divercentro
Cat in the Box: Deluxe Edition,Publishers,Divercentro
Gloomhaven,Publishers,Galápagos Jogos
Gloomhaven,Publishers,Gém Klub Kft.
Gloomhaven,Publishers,Korea Boardgames
Twilight Imperium: Fourth Edition,Publishers,Galápagos Jogos
Star Wars: Rebellion,Publishers,Galápagos Jogos
Star Wars: Rebellion,Publishers,Korea Boardgames
Gloomhaven: Jaws of the Lion,Publishers,Galápagos Jogos
Gloomhaven: Jaws of the Lion,Publishers,Gém Klub Kft.
Gloomhaven: Jaws of the Lion,Publishers,Korea Boardgames
Scythe,Publishers,Galápagos Jogos
Scythe,Publishers,Ghenos Games
Brass: Birmingham,Publishers,Gém Klub Kft.
Brass: Birmingham,Publishers,Ghenos Games
Brass: Birmingham,Publishers,Rebel Sp. z o.o.
Ark Nova,Publishers,Gém Klub Kft.
Ark Nova,Publishers,Korea Boardgames
Ark Nova,Publishers,MINDOK
Ark Nova,Publishers,MIPL
Ark Nova,Publishers,Tower Tactic Games
Spirit Island,Publishers,Gém Klub Kft.
Spirit Island,Publishers,Ghenos Games
Spirit Island,Publishers,Lacerta
Spirit Island,Publishers,Pegasus Spiele
Terraforming Mars,Publishers,Ghenos Games
Terraforming Mars,Publishers,Green Elephant Games
Terraforming Mars,Publishers,Kaissa Chess & Games
Terraforming Mars,Publishers,Korea Boardgames
Terraforming Mars,Publishers,MINDOK
Terraforming Mars,Publishers,MIPL
Terraforming Mars,Publishers,Rebel Sp. z o.o.
Terraforming Mars,Publishers,SuperHeated Neurons
Brass: Lancashire,Publishers,Ghenos Games
Brass: Lancashire,Publishers,Pegasus Spiele
Brass: Lancashire,Publishers,Rebel Sp. z o.o.
Lost Ruins of Arnak,Publishers,Hobby Japan
Lost Ruins of Arnak,Publishers,Kaissa Chess & Games
Heat: Pedal to the Metal,Publishers,Hobby Japan
Pandemic Legacy: Season 0,Publishers,Hobby Japan
Caverna: The Cave Farmers,Publishers,Hobby Japan
Ticket to Ride: Europe,Publishers,KADABRA
Jaipur,Publishers,KADABRA
7 Wonders (Second Edition),Publishers,KADABRA
The Crew: Mission Deep Sea,Publishers,Kaissa Chess & Games
The Crew: Mission Deep Sea,Publishers,MIPL
The Crew: Mission Deep Sea,Publishers,Zvezda
Everdell,Publishers,Kaissa Chess & Games
Everdell,Publishers,MIPL
Everdell,Publishers,Pegasus Spiele
A Feast for Odin,Publishers,Lacerta
Twilight Struggle,Publishers,MINDOK
Through the Ages: A New Story of Civilization,Publishers,MINDOK
Through the Ages: A New Story of Civilization,Publishers,Rebel Sp. z o.o.
Cascadia,Publishers,MIPL
Cascadia,Publishers,Tower Tactic Games
Rummikub,Publishers,Orangutan Games
Fold-it,Publishers,Orangutan Games
Codenames: Malaysia Edition,Publishers,Orangutan Games
Eclipse: Second Dawn for the Galaxy,Publishers,Pegasus Spiele
Carcassonne,Publishers,SuperHeated Neurons
Root,Publishers,Tower Tactic Games
Viticulture Essential Edition,Publishers,Tower Tactic Games
Patchwork,Publishers,Tower Tactic Games
Chronicles of Crime,Publishers,TWOPLUS Games
Oceans,Publishers,TWOPLUS Games
Trio,Publishers,TWOPLUS Games
Photosynthesis,Publishers,TWOPLUS Games
Terra Mystica,Publishers,Zvezda
The Crew: The Quest for Planet Nine,Publishers,Zvezda
Michael Kiesling,born,Germany
Michael Kiesling,collaborates_with,Wolfgang Kramer
Michael Kiesling,worked_together_with,Wolfgang Kramer (for many years)
Michael Kiesling,produced_games_together_with,Wolfgang Kramer (more notable earlier work)
Michael Kiesling,authored,Vikings
Michael Kiesling,abstract_tile_laying_game_series,Azul
Michael Kiesling,abstract_tile_laying_game_series,Azul: Stained Glass of Sintra
Michael Kiesling,abstract_tile_laying_game_series,Azul: Summer Pavilion
Michael Kiesling,awarded,Spiel des Jahres (2018)
Michael Kiesling,awarded,Deutscher Spiele Preis (2018)
Michael Kiesling,awarded,Juego del Año (2018)
Chris Quilliams,from,Winnipeg
Chris Quilliams,from,Manitoba
Chris Quilliams,from,Canada
Chris Quilliams,lived,Canada (most of his life)
Chris Quilliams,studied,University of Manitoba
Chris Quilliams,lives,Rigaud
Chris Quilliams,works_for,Plan B games (in studio)
Next Move Games,focuses_on,LITE themed abstract games
Next Move Games,focuses_on,DEEP strategy
Next Move Games,will_bring_fans,PURE games
Next Move Games,will_bring_fans,simple; CORE mechanisms
Next Move Games,fans_can_expect,CHIC; high-quality components
Next Move Games,titles_will_be,FOUR letters in length
Next Move Games,is,a publishing and design studio
Next Move Games,owned_by,Plan B Games
Microbadge,holder_of,Next Move Games fan
Company,founded,1992
Company,principle,entertaining people
Company,activity,distributing
Company,activity,translating
Company,activity,board games
Company,activity,card games
Company,activity,role playing games
 (nonexistent page),does_not_exist, (nonexistent page)
You,can,edit this page
You,can,create it
This page,does_not_exist, (nonexistent page)
Green Elephant Games,based_in,Mumbai
Green Elephant Games,publishes,Terraforming Mars (localized edition)
Green Elephant Games,publishes,Wingspan (localized edition)
Green Elephant Games,develops,original games (with talented game designers in India)
Green Elephant Games,distributes,leading international tabletop games
Green Elephant Games,committed_to,being a positive and responsible member of the growing board game community
Green Elephant Games,values,Creativity
Green Elephant Games,values,Quality
Green Elephant Games,values,Learning
Green Elephant Games,values,Community
Green Elephant Games,values,Sustainability
Green Elephant Games,team,diverse
Green Elephant Games,mission,making tabletop gaming accessible to Indians of all backgrounds
Green Elephant Games,loves,games
Green Elephant Games,invites,playing (with you)
Green Elephant Games,invites,making (a game with you)
Hobby Japan,is_related_to,Rodger B. MacGowan
Hobby Japan,is_related_to,Mr. Sato
Hobby Japan,is_related_to,picture (if the picture is related to Hobby Japan)
Hobby Japan,is_related_to,Japanese wikipedia entry
Korea Boardgames Co.; Ltd.,established,2004
Korea Boardgames Co.; Ltd.,leading,board game publisher and distributor in Korea
Korea Boardgames Co.; Ltd.,extending_beyond_the_Korean_market,creating a global impact
Korea Boardgames Co.; Ltd.,bringing_joy_and_excitement,tabletop game fans worldwide
Korea Boardgames Co.; Ltd.,social_media_presence,Instagram
Korea Boardgames Co.; Ltd.,official_YouTube_channel,KR
Korea Boardgames Co.; Ltd.,YouTube_channel_for_publishing,EN
Korea Boardgames Co.; Ltd.,online_platform,X
Korea Boardgames Co.; Ltd.,newsletter_subscription,KBG publishing
Coffee Rush,hit_games,Korea Boardgames Co.; Ltd.
Orangutan Games,founded,2018
Orangutan Games,based_in,Malaysia & Indonesia
Tower Tactic Games,based_in,Bangkok Thailand
Tower Tactic Games,is_a,Thai board game company
Tower Tactic Games,focus_on_providing,good quality board games
Tower Tactic Games,founded_in,2016
Tower Tactic Games,started_from,"a board game cafe ""The Stronghold"""
Tower Tactic Games,located_at,Siam Square
Tower Tactic Games,distributed,many different well-known board games
Tower Tactic Games,distributed,to other board game shops
Tower Tactic Games,distributed,over 100 branches of Modern trades and book stores all over Thailand
Siam Square,is_located_at,the center of fashion and shopping in Thailand
Asmodee games,were_distributed_by,Tower Tactic Games
CMON Limited,were_distributed_by,Tower Tactic Games
PlanB Games,were_distributed_by,Tower Tactic Games
Matagot,were_distributed_by,Tower Tactic Games
